Galaxy_name	Distance	Right_Asc	declenation(deg,min)	coordinate(Z+/-)	sorted_group		Final_sort_group

6822		.214		19h 44.9min	-14,48.9		4-			A			1
598		.263		11h 33.9min	30,39			2+			B			2
221		.275		01h 42.7min	40,52			1+			C			3
224		.275		01h 42.7min	41,16			1+			C			3
5457		.45		14h 03.2min	54,21			3+			B			4
4736		.5		12h 50.9min	47,7			3+			B			4
5194		.5		13h 29.9min	47,12			3+			B			4
4449		.63		12h 28.2min	44,6			3+			B			4
4214		.8		12h 15.6min	36,20			3+			B			4
3031		.9		09h 55.6min	69,4			2+			D			6
3627		.9		11h 20.2min	12,59			2+			B			5
4826		.9		12h 56.7min	21,41			3+			B			5
5236		.9		13h 37.0min	-29,52			3-			E			9
1068		1		02h 42.7min	-0,1			1-			C			7
5055		1.1		13h 15.8min	42,2			3+			B			5
7331		1.1		22h 37.1min	34,25			4+			C			7
4258		1.4		12h 19.0min	47,18			3+			B			5
4151		1.7		12h 10.5min	39,24			3+			B			8
4382		2		12h 25.4min	18,11			3+			B			8
4472		2		12h 29.8min	8,0			3+			B			8
4486		2		12h 30.8min	12,24			3+			B			8
4649		2		12h 43.7min	11,33			3+			B			8




So, sorted galaxies according to their group.

Galaxy_name	Distance	Right_Asc	declenation(deg,min)	coordinate(Z+/-)	sorted_group		Final_sort_group

6822		.214		19h 44.9min	-14,48.9		4-			A			1

598		.263		11h 33.9min	30,39			2+			B			2

221		.275		01h 42.7min	40,52			1+			C			3
224		.275		01h 42.7min	41,16			1+			C			3

5457		.45		14h 03.2min	54,21			3+			B			4
4736		.5		12h 50.9min	47,7			3+			B			4
5194		.5		13h 29.9min	47,12			3+			B			4
4449		.63		12h 28.2min	44,6			3+			B			4
4214		.8		12h 15.6min	36,20			3+			B			4

3031		.9		09h 55.6min	69,4			2+			D			6

5236		.9		13h 37.0min	-29,52			3-			E			9


3627		.9		11h 20.2min	12,59			2+			B			5
4826		.9		12h 56.7min	21,41			3+			B			5
5055		1.1		13h 15.8min	42,2			3+			B			5
4258		1.4		12h 19.0min	47,18			3+			B			5

1068		1		02h 42.7min	-0,1			1-			C			7
7331		1.1		22h 37.1min	34,25			4+			C			7

4151		1.7		12h 10.5min	39,24			3+			B			8
4382		2		12h 25.4min	18,11			3+			B			8
4472		2		12h 29.8min	8,0			3+			B			8
4486		2		12h 30.8min	12,24			3+			B			8
4649		2		12h 43.7min	11,33			3+			B			8



Sorted group:

Galaxy_name	Distance	Group	Velocity	avg_distance	avg_vel

6822		.214		1	-130		.214		-130
598		.263		2	-70		.263		-70
			
221		.275		3	-185		.275		202.5
224		.275		3	-220				

5457		.45		4	200		.576		252
4736		.5		4	290
5194		.5		4	270
4449		.63		4	200
4214		.8		4	300
					
3031		.9		6	-30		.9		-30	

5236		.9		9	500		.9		500	

3627		.9		5	650		1.075		437.5
4826		.9		5	150		
5055		1.1		5	450
4258		1.4		5	500					

1068		1		7	920		1.05		710
7331		1.1		7	500					

4151		1.7		8	960		1.94		840
4382		2		8	500
4472		2		8	850
4486		2		8	800
4649		2		8	1090






